CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate
315497,ALLENDALE REHABILITATION AND HEALTHCARE CENTER,ALLENDALE,Bergen,NJ,3.0,4.0,3.25771,0.8291666666666667
315313,CAREONE AT CRESSKILL,CRESSKILL,Bergen,NJ,4.0,5.0,3.15164,0.7371681415929203
315360,Emerson Health Care Center,EMERSON,Bergen,NJ,5.0,4.0,4.33627,0.8767741935483871
315377,"ACTORS FUND HOME, THE",ENGLEWOOD,Bergen,NJ,4.0,2.0,5.01175,0.8728971962616823
315349,"COMPLETE CARE AT INGLEMOOR, LLC",ENGLEWOOD,Bergen,NJ,2.0,2.0,3.35536,0.9338709677419355
315328,MAPLE GLEN CENTER,FAIRLAWN,Bergen,NJ,3.0,4.0,3.32961,0.7572327044025158
315152,CAREONE AT WELLINGTON,HACKENSACK,Bergen,NJ,2.0,5.0,3.37655,0.82890625
315460,COMPLETE CARE AT PROSPECT HEIGHTS LLC,HACKENSACK,Bergen,NJ,1.0,5.0,2.81068,0.6127551020408163
315295,COMPLETE CARE AT REGENT LLC,HACKENSACK,Bergen,NJ,2.0,3.0,3.36611,0.9433333333333334
315386,ATLAS REHABILITATION AND HEALTHCARE AT MAYWOOD,MAYWOOD,Bergen,NJ,3.0,5.0,3.13147,0.925
315306,CAREONE AT NEW MILFORD,NEW MILFORD,Bergen,NJ,2.0,5.0,2.95345,0.7635593220338982
315290,"BUCKINGHAM AT NORWOOD, THE",NORWOOD,Bergen,NJ,1.0,2.0,3.0893,0.7020833333333333
315171,OAKLAND REHABILITATION AND HEALTHCARE  CENTER,OAKLAND,Bergen,NJ,1.0,5.0,3.84641,0.8753488372093022
315339,CAREONE AT ORADELL,ORADELL,Bergen,NJ,1.0,5.0,3.86224,0.7909090909090909
315017,BERGEN NEW BRIDGE MEDICAL CENTER,PARAMUS,Bergen,NJ,3.0,4.0,3.71396,0.6202090592334495
315426,CAREONE AT RIDGEWOOD AVENUE,PARAMUS,Bergen,NJ,2.0,5.0,2.93461,0.9181818181818182
315129,DELLRIDGE HEALTH & REHABILITATION CENTER,PARAMUS,Bergen,NJ,2.0,4.0,3.6617,1.0218749999999999
315346,NEW JERSEY VETERANS MEMORIAL HOME AT PARAMUS,PARAMUS,Bergen,NJ,5.0,,6.29681,0.5967261904761905
315438,Atrium Post Acute Care at Park Ridge,PARK RIDGE,Bergen,NJ,1.0,4.0,3.41256,0.8504761904761905
315434,Family of Caring Healthcare at Ridgewood,RIDGEWOOD,Bergen,NJ,4.0,3.0,3.48273,0.9010416666666666
315158,RIDGEWOOD CENTER,RIDGEWOOD,Bergen,NJ,1.0,4.0,3.33637,0.7433333333333334
315494,ALARIS HEALTH AT THE CHATEAU,ROCHELLE PARK,Bergen,NJ,4.0,4.0,3.5531,0.7796812749003984
315473,JEWISH HOME AT ROCKLEIGH,ROCKLEIGH,Bergen,NJ,3.0,3.0,4.72302,0.9556122448979593
315502,CareOne At Teaneck,TEANECK,Bergen,NJ,3.0,5.0,3.32497,0.625
315037,FAMILY OF CARING AT TEANECK LLC,TEANECK,Bergen,NJ,4.0,2.0,3.49121,0.9738317757009346
315164,"FAMILY OF CARING HEALTHCARE AT TENAFLY, LLC",TENAFLY,Bergen,NJ,3.0,4.0,3.57529,0.9289855072463767
315369,CAREONE AT VALLEY,WESTWOOD,Bergen,NJ,5.0,5.0,3.21719,0.8653061224489795
315133,WOODCLIFF LAKE HEALTH & REHABILITATION CENTER,WOODCLIFF LAKE,Bergen,NJ,4.0,5.0,3.15724,0.7508771929824561
315376,CHRISTIAN HEALTH CARE CENTER,WYCKOFF,Bergen,NJ,2.0,4.0,4.17758,0.9101973684210526
315392,Job Haines Home For Aged People,BLOOMFIELD,Essex,NJ,5.0,4.0,5.82877,0.9475
315471,ST CATHERINE OF SIENA,CALDWELL,Essex,NJ,3.0,,2.10046,0.8566666666666667
315357,ALARIS HEALTH AT CEDAR GROVE,CEDAR GROVE,Essex,NJ,1.0,5.0,5.5559,0.7034782608695652
315036,ARBOR GLEN CENTER,CEDAR GROVE,Essex,NJ,1.0,4.0,3.21652,0.8131147540983606
315204,CANTERBURY AT CEDAR GROVE,CEDAR GROVE,Essex,NJ,1.0,2.0,,
315216,COMPLETE CARE AT CEDAR GROVE,CEDAR GROVE,Essex,NJ,3.0,5.0,3.74909,0.9010526315789473
315194,COMPLETE CARE AT ST VINCENTS LLC,CEDAR GROVE,Essex,NJ,5.0,4.0,3.27503,0.905298013245033
315268,BROOKHAVEN HEALTH CARE CENTER,EAST ORANGE,Essex,NJ,3.0,3.0,3.33231,0.940983606557377
315178,COMPLETE CARE AT ORANGE PARK,EAST ORANGE,Essex,NJ,3.0,3.0,3.84214,0.9246511627906977
315147,GROVE PARK HEALTHCARE AND REHABILITATION CENTER,EAST ORANGE,Essex,NJ,2.0,5.0,3.83757,0.941081081081081
315266,Park Crescent Healthcare & Rehabilitation Center,EAST ORANGE,Essex,NJ,3.0,5.0,3.76125,0.8842105263157894
315359,ALLIANCE CARE REHABILITATION AND NURSING CENTER,IRVINGTON,Essex,NJ,2.0,3.0,2.94668,0.9108490566037736
315479,CAREONE AT LIVINGSTON,LIVINGSTON,Essex,NJ,4.0,5.0,3.92088,0.505
315322,INGLEMOOR REHABILITATION AND CARE CENTER,LIVINGSTON,Essex,NJ,5.0,5.0,4.2655,0.7456521739130435
315526,LIVINGSTON POST ACUTE CARE,LIVINGSTON,Essex,NJ,1.0,5.0,3.05877,1.0435483870967743
315527,WINCHESTER GARDENS HEALTH CARE CENTER,MAPLEWOOD,Essex,NJ,4.0,5.0,5.51691,0.8066666666666666
315435,Family of Caring Healthcare at Montclair,MONTCLAIR,Essex,NJ,4.0,4.0,3.47018,0.95
315363,MONTCLAIR CARE CENTER,MONTCLAIR,Essex,NJ,4.0,4.0,3.91172,0.7578125
315343,BROADWAY HOUSE FOR CONTINUING CARE,NEWARK,Essex,NJ,4.0,,,0.9141025641025641
315375,FOREST HILLS CENTER FOR REHABILITATION AND HEALING,NEWARK,Essex,NJ,1.0,3.0,3.63236,0.925
315393,NEW COMMUNITY EXTENDED CARE FACILITY,NEWARK,Essex,NJ,1.0,,2.81659,0.5127777777777778
315458,NEW VISTA NURSING & REHABILITATION CTR,NEWARK,Essex,NJ,1.0,3.0,4.99632,0.7305882352941176
315236,SINAI POST-ACUTE NURSING & REHAB CENTER,NEWARK,Essex,NJ,1.0,2.0,3.53887,0.9097674418604651
315352,Axia Care Center of Orange,ORANGE,Essex,NJ,1.0,3.0,4.12549,0.8643617021276596
315372,WHITE HOUSE HEALTHCARE AND REHABILITATION CENTER,ORANGE,Essex,NJ,4.0,5.0,3.78315,0.9340909090909091
315247,COMPLETE CARE AT WEST CALDWELL LLC,WEST CALDWELL,Essex,NJ,3.0,5.0,3.39091,0.7638888888888888
315457,LUTHERAN SOCIAL MINISTRIES CRANES MILL,WEST CALDWELL,Essex,NJ,4.0,5.0,4.30033,0.6678571428571428
315449,ALARIS HEALTH AT WEST ORANGE,WEST ORANGE,Essex,NJ,2.0,4.0,3.803,0.9125
315038,COMPLETE CARE AT SUMMIT RIDGE,WEST ORANGE,Essex,NJ,3.0,4.0,3.78374,0.9361842105263158
315029,DAUGHTERS OF ISRAEL PLEASANT VALLEY HOME,WEST ORANGE,Essex,NJ,3.0,5.0,4.18611,0.3165016501650165
315416,GREEN HILL,WEST ORANGE,Essex,NJ,2.0,4.0,3.59726,0.7464566929133858
315066,STRATFORD MANOR REHABILITATION AND CARE CENTER,WEST ORANGE,Essex,NJ,3.0,5.0,3.26966,0.950381679389313
315532,BAYONNE UNIVERSITY HOSPITAL,BAYONNE,Hudson,NJ,5.0,,6.47116,0.6470588235294118
315512,HOBOKEN UNIVERSITY MEDICAL CENTER TCU,HOBOKEN,Hudson,NJ,4.0,4.0,7.40962,0.6466666666666666
315083,ACCLAIM REHABILITATION AND NURSING CENTER,JERSEY CITY,Hudson,NJ,3.0,5.0,3.53391,0.846448087431694
315300,ALARIS HEALTH AT HAMILTON PARK,JERSEY CITY,Hudson,NJ,4.0,3.0,3.82496,0.6265384615384616
315310,OPTIMA CARE HARBORVIEW,JERSEY CITY,Hudson,NJ,4.0,4.0,2.84742,0.74
315413,PEACE CARE ST ANN'S,JERSEY CITY,Hudson,NJ,4.0,3.0,3.82368,0.9075000000000001
315452,PEACE CARE ST JOSEPH'S,JERSEY CITY,Hudson,NJ,3.0,5.0,4.29549,0.8964028776978417
315366,ALARIS HEALTH AT BELGROVE,KEARNY,Hudson,NJ,1.0,3.0,4.50064,0.7941666666666667
315192,ALARIS HEALTH AT KEARNY,KEARNY,Hudson,NJ,4.0,2.0,3.58995,0.8933333333333333
315307,COMPLETE CARE AT HARBORAGE LLC,NORTH BERGEN,Hudson,NJ,4.0,4.0,3.1003,0.9149797570850202
315525,HARBOUR VIEW SENIOR LIVING CORP,NORTH BERGEN,Hudson,NJ,2.0,2.0,5.74949,0.935
315112,HUDSONVIEW HEALTH CARE CENTER,NORTH BERGEN,Hudson,NJ,4.0,4.0,2.99797,0.9608058608058608
315476,OPTIMA CARE FOUNTAINS,SECAUCUS,Hudson,NJ,1.0,,5.08527,0.841616766467066
315465,MANHATTANVIEW CTR FOR REHABILITATION AND HEALTHCAR,UNION CITY,Hudson,NJ,3.0,2.0,3.05201,0.9661417322834646
315344,OPTIMA CARE CASTLE HILL,UNION CITY,Hudson,NJ,1.0,5.0,3.88859,0.6362790697674419
315467,LITTLE BROOK NURSING AND CONVALESCENT HOME,CALIFON,Hunterdon,NJ,1.0,,3.6085,0.75
315226,HUNTERDON CARE CENTER LLC,FLEMINGTON,Hunterdon,NJ,2.0,5.0,3.43144,0.9156756756756758
315302,ROLLING HILLS CARE CENTER,LEBANON,Hunterdon,NJ,1.0,5.0,3.56796,0.8925373134328358
315433,COUNTRY ARCH CARE CENTER,PITTSTOWN,Hunterdon,NJ,3.0,5.0,3.90913,0.8423076923076923
315451,THE ELMS REHAB AND HEALTHCARE CENTER OF CRANBURY,CRANBURY,Middlesex,NJ,3.0,5.0,3.45301,0.7391666666666666
315472,CAREONE AT EAST BRUNSWICK,EAST BRUNSWICK,Middlesex,NJ,3.0,5.0,3.30593,0.7583333333333333
315351,BRIGHTON GARDENS OF EDISON,EDISON,Middlesex,NJ,3.0,4.0,6.18005,0.84
315132,CareOne at The Highlands,EDISON,Middlesex,NJ,3.0,4.0,3.5151,0.8327868852459016
315279,EMBASSY MANOR AT EDISON NURSING AND REHABILITATION,EDISON,Middlesex,NJ,2.0,1.0,3.64493,0.7864285714285714
315251,HARTWYCK AT OAK TREE,EDISON,Middlesex,NJ,4.0,3.0,3.67682,0.7525
315459,NEW JERSEY VETERANS MEMORIAL HOME MENLO,EDISON,Middlesex,NJ,4.0,4.0,6.17867,0.5911585365853659
315039,ROOSEVELT CARE CENTER,EDISON,Middlesex,NJ,2.0,5.0,4.58603,0.8916666666666667
315362,COMPLETE CARE AT PARK PLACE LLC,MONMOUTH JUNCTION,Middlesex,NJ,3.0,5.0,2.97767,0.9446808510638297
315353,CRANBURY CENTER,MONROE TOWNSHIP,Middlesex,NJ,4.0,2.0,3.56063,0.6532467532467532
315336,"GARDENS AT MONROE HEALTHCARE AND REHABILITATION, T",MONROE TOWNSHIP,Middlesex,NJ,3.0,4.0,3.88833,0.7374999999999999
315269,VILLAGE POINT,MONROE TOWNSHIP,Middlesex,NJ,3.0,5.0,4.62578,0.8558333333333333
315384,ROSE MOUNTAIN CARE CENTER,NEW BRUNSWICK,Middlesex,NJ,1.0,5.0,4.33328,0.8312499999999999
315381,AUTUMN LAKE HEALTHCARE AT OLD BRIDGE,OLD BRIDGE,Middlesex,NJ,4.0,3.0,3.38121,0.9533333333333334
315321,"PREFERRED CARE AT OLD BRIDGE, LLC",OLD BRIDGE,Middlesex,NJ,4.0,5.0,3.60443,0.8814285714285715
315417,REFORMED CHURCH HOME,OLD BRIDGE,Middlesex,NJ,5.0,5.0,4.14357,0.8777777777777778
315509,Roosevelt Care Center At Old Bridge,OLD BRIDGE,Middlesex,NJ,5.0,5.0,4.48324,0.8683333333333334
315180,ALAMEDA CENTER FOR REHABILITATION AND HEALTHCARE,PERTH AMBOY,Middlesex,NJ,3.0,5.0,4.03504,0.894
315305,SPRING CREEK HEALTHCARE CENTER,PERTH AMBOY,Middlesex,NJ,4.0,2.0,3.06843,0.7731843575418995
315522,ACCELERATE SKILLED NURSING AND REHAB PISCATAWAY,PISCATAWAY,Middlesex,NJ,1.0,5.0,3.8466,0.8370967741935483
315001,"MERWICK CARE & REHAB CENTER, LLC",PLAINSBORO,Middlesex,NJ,1.0,4.0,3.39669,0.7120000000000001
315518,"VENETIAN CARE & REHABILITATION CENTER, THE",SOUTH AMBOY,Middlesex,NJ,2.0,3.0,3.34589,0.7611111111111111
315214,ARISTACARE AT CEDAR OAKS,SOUTH PLAINFIELD,Middlesex,NJ,2.0,5.0,3.39016,0.8656521739130435
315318,"ST JOSEPH'S HOME AL & NC, INC",WOODBRIDGE,Middlesex,NJ,5.0,,4.45237,0.9450980392156864
315397,PREFERRED CARE AT WALL,ALLENWOOD,Monmouth,NJ,4.0,5.0,3.48397,0.8874074074074074
315087,CAREONE AT MIDDLETOWN,ATLANTIC HIGHLANDS,Monmouth,NJ,2.0,3.0,3.7122,0.6590551181102362
315177,GATEWAY CARE CENTER,EATONTOWN,Monmouth,NJ,3.0,3.0,4.37139,0.7870786516853933
315364,JERSEY SHORE CENTER,EATONTOWN,Monmouth,NJ,3.0,5.0,3.121,0.7962025316455696
315387,ALLAIRE REHAB & NURSING,FREEHOLD,Monmouth,NJ,1.0,4.0,5.11875,0.7804597701149426
315292,"APPLEWOOD VILLAGE, INC",FREEHOLD,Monmouth,NJ,4.0,5.0,6.14343,0.5966666666666666
315528,"JEWISH HOME FOR REHABILITATION AND NURSING, THE",FREEHOLD,Monmouth,NJ,4.0,3.0,3.97815,0.9273333333333333
315153,"MANOR, THE",FREEHOLD,Monmouth,NJ,4.0,4.0,4.3178,0.4585365853658536
315504,WEDGWOOD GARDENS CARE CENTER,FREEHOLD,Monmouth,NJ,3.0,4.0,3.48419,0.6370860927152318
315314,ANCHOR CARE AND REHABILITATION CENTER,HAZLET,Monmouth,NJ,4.0,5.0,3.21436,0.8535294117647059
315119,ARNOLD WALTER NURSING & REHABILITATION CENTER,HAZLET,Monmouth,NJ,3.0,5.0,3.13955,0.694059405940594
315092,CAREONE AT HOLMDEL,HOLMDEL,Monmouth,NJ,4.0,5.0,3.64661,0.7138461538461538
315252,Complete Care at Bayshore LLC,HOLMDEL,Monmouth,NJ,3.0,5.0,3.16602,0.6064655172413793
315437,LAUREL BAY HEALTH & REHABILITATION CENTER,KEANSBURG,Monmouth,NJ,1.0,2.0,3.59856,0.6772357723577236
315374,DE LA SALLE HALL,LINCROFT,Monmouth,NJ,5.0,,6.14783,0.725
315284,"COMPLETE CARE AT MONMOUTH, LLC",LONG BRANCH,Monmouth,NJ,2.0,4.0,3.74886,0.6816666666666666
315282,EXCEL CARE AT MANALAPAN,MANALAPAN,Monmouth,NJ,1.0,5.0,3.58787,0.8371212121212122
315015,"COMPLETE CARE AT MADISON, LLC",MATAWAN,Monmouth,NJ,3.0,5.0,3.69109,0.7916167664670658
315463,MEADOWBROOK RESPIRATORY AND NURSING CENTER,MATAWAN,Monmouth,NJ,2.0,3.0,4.25214,0.7615384615384615
315199,IMPERIAL CARE CENTER,NEPTUNE,Monmouth,NJ,5.0,5.0,3.90003,0.7289256198347107
315056,JERSEY SHORE POST ACUTE REHABILITATION AND NURSING,NEPTUNE,Monmouth,NJ,3.0,3.0,3.638,0.8514285714285715
315299,KING MANOR CARE AND REHABILITATION CENTER,NEPTUNE,Monmouth,NJ,4.0,3.0,3.56531,0.8450000000000001
315105,CORAL HARBOR REHABILITATION AND HEALTHCARE CENTER,NEPTUNE CITY,Monmouth,NJ,3.0,3.0,3.4671,0.8409090909090909
315365,COMPLETE CARE AT OCEAN GROVE LLC,OCEAN GROVE,Monmouth,NJ,2.0,4.0,3.08412,0.6040816326530613
315515,"ATRIUM AT NAVESINK HARBOR, THE",RED BANK,Monmouth,NJ,3.0,5.0,5.04454,0.8744186046511628
315286,REDBANK CENTER FOR REHABILITATION AND HEALING,RED BANK,Monmouth,NJ,2.0,4.0,3.3208,0.7955555555555555
315136,COMPLETE CARE AT SHREWSBURY LLC,SHREWSBURY,Monmouth,NJ,2.0,4.0,3.2658,0.8021428571428572
315414,ASTER CREEK NURSING AND REHABILITATION CENTER,TINTON FALLS,Monmouth,NJ,3.0,3.0,5.00604,0.6859999999999999
315469,CONTINUING CARE AT SEABROOK,TINTON FALLS,Monmouth,NJ,5.0,4.0,5.12398,0.7034883720930233
315485,CAREONE AT WALL,WALL,Monmouth,NJ,2.0,5.0,3.40442,0.7623076923076922
315501,COMPLETE CARE AT WALL LLC,WALL,Monmouth,NJ,1.0,5.0,3.42534,0.6061538461538462
315354,SUNNYSIDE MANOR,WALL,Monmouth,NJ,4.0,4.0,4.81356,0.8833333333333333
315069,TOWER LODGE CARE CENTER,WALL,Monmouth,NJ,4.0,,3.59348,0.8883333333333333
315492,FALLSVIEW NURSING AND REHABILITATION CENTER,BOONTON,Morris,NJ,3.0,5.0,3.58387,0.7547008547008547
315120,CHATHAM HILLS SUBACUTE CARE CENTER,CHATHAM,Morris,NJ,3.0,5.0,3.37797,0.8481481481481481
315329,"OAKS AT DENVILLE, THE",DENVILLE,Morris,NJ,3.0,5.0,5.30002,0.680952380952381
315019,DWELLING PLACE AT ST CLARES,DOVER,Morris,NJ,4.0,,2.2159,0.9678571428571429
315355,EXCEL CARE AT DOVER,DOVER,Morris,NJ,1.0,3.0,3.74751,0.864516129032258
315529,LIVIA HEALTH AND SENIOR LIVING,EAST HANOVER,Morris,NJ,4.0,5.0,4.06209,0.8651162790697675
315383,CHESHIRE HOME,FLORHAM PARK,Morris,NJ,4.0,,6.07384,0.9314285714285715
315530,FLORHAM PARK REHABILITATION AND HEALTHCARE CENTER,FLORHAM PARK,Morris,NJ,5.0,5.0,3.18453,0.9528301886792453
315072,Heath Village,HACKETTSTOWN,Morris,NJ,5.0,3.0,5.02109,0.8898148148148147
315249,LINCOLN PARK CARE CENTER,LINCOLN PARK,Morris,NJ,4.0,,3.73655,0.9712979890310786
315042,LINCOLN PARK RENAISSANCE,LINCOLN PARK,Morris,NJ,3.0,5.0,3.31192,0.9354497354497355
315053,PINE ACRES REHABILITATION AND HEALTHCARE,MADISON,Morris,NJ,4.0,4.0,3.705,0.8137254901960784
315143,HOLLY MANOR CENTER,MENDHAM,Morris,NJ,2.0,5.0,3.25533,0.6959677419354838
315488,CareOne At Madison Avenue,MORRISTOWN,Morris,NJ,2.0,5.0,3.87486,0.5870786516853933
315303,MORRIS VIEW HEALTHCARE CENTER,MORRISTOWN,Morris,NJ,1.0,5.0,4.19872,0.8911660777385159
315157,MORRISTOWN POST ACUTE REHAB AND NURSING CENTER,MORRISTOWN,Morris,NJ,2.0,5.0,4.10591,0.6979094076655052
315138,TROY HILLS CENTER,PARSIPPANY,Morris,NJ,1.0,3.0,3.39043,0.6453846153846154
315468,CAREONE AT PARSIPPANY,PARSIPPANY TROY HILL,Morris,NJ,4.0,4.0,3.07058,0.7254237288135593
315491,CEDAR CREST/MOUNTAINVIEW GARDENS,POMPTON PLAINS,Morris,NJ,1.0,5.0,4.62506,0.9672566371681416
315057,MERRY HEART NURSING HOME,SUCCASUNNA,Morris,NJ,4.0,5.0,4.09869,0.8495575221238938
315511,CareOne At Hanover Township,WHIPPANY,Morris,NJ,2.0,5.0,3.86201,0.75
315222,BARNEGAT REHABILITATION AND NURSING CENTER,BARNEGAT,Ocean,NJ,2.0,3.0,3.72191,0.8356521739130435
315125,CRYSTAL LAKE HEALTHCARE AND REHABILITATION,BAYVILLE,Ocean,NJ,,,5.16623,0.816595744680851
315462,TALLWOODS CARE CENTER,BAYVILLE,Ocean,NJ,3.0,4.0,3.32879,0.7966666666666667
315342,COMPLETE CARE AT BRICK LLC,BRICK,Ocean,NJ,3.0,4.0,4.01033,0.5598540145985401
315274,"COMPLETE CARE AT LAURELTON, LLC",BRICK,Ocean,NJ,2.0,4.0,3.75627,0.5577777777777778
315453,COMPLETE CARE AT SHORROCK,BRICK,Ocean,NJ,2.0,4.0,3.30482,0.9294444444444445
315213,WILLOW SPRINGS REHABILITATION AND HEALTHCARE CTR,BRICK,Ocean,NJ,4.0,4.0,3.24592,0.8804878048780488
315288,BARTLEY NURSING & REHAB,JACKSON,Ocean,NJ,4.0,5.0,3.4828,0.9055555555555556
315115,ATLANTIC COAST REHAB & HEALTH,LAKEWOOD,Ocean,NJ,3.0,,3.38609,0.8412499999999999
315275,CONCORD HEALTHCARE & REHABILITATION CENTER,LAKEWOOD,Ocean,NJ,4.0,4.0,3.96232,0.7933333333333333
315327,FOUNTAINVIEW CARE CENTER,LAKEWOOD,Ocean,NJ,1.0,5.0,3.81908,0.7308943089430895
315262,HARROGATE,LAKEWOOD,Ocean,NJ,4.0,5.0,4.95623,0.8897058823529411
315190,LEISURE CHATEAU REHABILITATION,LAKEWOOD,Ocean,NJ,4.0,4.0,4.2356,0.759090909090909
315456,MYSTIC MEADOWS REHABILITATION AND NURSING CENTER,LITTLE EGG HARBOR TW,Ocean,NJ,4.0,3.0,3.91351,0.7946153846153846
315218,SEACREST REHABILITATION AND HEALTHCARE CENTER,LITTLE EGG HARBOR TW,Ocean,NJ,2.0,5.0,3.22317,0.895906432748538
315206,MANAHAWKIN HEALTH AND REHABILITATION CENTER,MANAHAWKIN,Ocean,NJ,1.0,1.0,4.16937,0.935
315332,SOUTHERN OCEAN CENTER,MANAHAWKIN,Ocean,NJ,4.0,4.0,3.42879,0.8911764705882353
315196,ARISTACARE AT MANCHESTER,MANCHESTER,Ocean,NJ,4.0,4.0,3.77221,0.8678787878787878
315135,CREST POINTE REHABILITATION AND HEALTHCARE CENTER,PT PLEASANT,Ocean,NJ,1.0,1.0,3.52429,0.8449152542372882
315443,CHILDRENS SPECIALIZED HOSPITAL TOMS RIVER,TOMS RIVER,Ocean,NJ,4.0,,5.85892,0.5769230769230769
315490,COMMUNITY MEDICAL CENTER TCU,TOMS RIVER,Ocean,NJ,5.0,4.0,6.25832,0.836
315333,COMPLETE CARE AT ARBORS,TOMS RIVER,Ocean,NJ,3.0,5.0,2.86936,0.865
315264,"COMPLETE CARE AT BEY LEA, LLC",TOMS RIVER,Ocean,NJ,4.0,4.0,3.0543,0.8049999999999999
315265,COMPLETE CARE AT GREEN ACRES,TOMS RIVER,Ocean,NJ,5.0,5.0,3.27488,0.944311377245509
315320,COMPLETE CARE AT HOLIDAY CITY,TOMS RIVER,Ocean,NJ,3.0,4.0,3.1443,0.7844444444444444
315312,Hampton Ridge Healthcare and Rehabilitation,TOMS RIVER,Ocean,NJ,5.0,4.0,3.10627,0.9735294117647059
315421,ROSE GARDEN NURSING AND REHABILITATION CENTER,TOMS RIVER,Ocean,NJ,2.0,3.0,3.59409,0.91875
315454,SHORE GARDENS REHABILITATION AND NURSING CENTER,TOMS RIVER,Ocean,NJ,1.0,2.0,4.2628,0.9449664429530202
315309,ARISTACARE AT WHITING,WHITING,Ocean,NJ,1.0,5.0,3.39702,0.7427777777777778
315298,CRESTWOOD MANOR,WHITING,Ocean,NJ,4.0,5.0,4.25845,0.7953125
315347,HAMILTON PLACE AT THE PINES AT WHITING,WHITING,Ocean,NJ,3.0,2.0,3.98273,0.7893939393939394
